Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Treatment,product,source_of_cell_line,Strain
SRR22909625,RNA-Seq,302,24351941234,PRJNA916518,SAMN32475259,7401939933,HeLa,"MCCANDLISH LAB, QUANTITATIVE BIOLOGY, COLD SPRING HARBOR LABORATORY",public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX18867073,NextSeq 2000,GSM6901058,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-09T00:00:00Z,2022-12-28T17:18:00Z,1,GSM6901058,HeLa,SRP415069,Branaplam,,,CSHL cell line repository
SRR22909626,RNA-Seq,302,29508621434,PRJNA916518,SAMN32475260,8908081825,HeLa,"MCCANDLISH LAB, QUANTITATIVE BIOLOGY, COLD SPRING HARBOR LABORATORY",public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX18867072,NextSeq 2000,GSM6901057,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-09T00:00:00Z,2022-12-28T17:23:00Z,1,GSM6901057,HeLa,SRP415069,Branaplam,,,CSHL cell line repository
SRR22909629,RNA-Seq,302,26882605500,PRJNA916518,SAMN32475263,8176812278,HeLa,"MCCANDLISH LAB, QUANTITATIVE BIOLOGY, COLD SPRING HARBOR LABORATORY",public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX18867069,NextSeq 2000,GSM6901054,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-09T00:00:00Z,2022-12-28T17:52:00Z,1,GSM6901054,HeLa,SRP415069,Branaplam,,,CSHL cell line repository
SRR22909632,RNA-Seq,302,22947283364,PRJNA916518,SAMN32475266,7020136309,HeLa,"MCCANDLISH LAB, QUANTITATIVE BIOLOGY, COLD SPRING HARBOR LABORATORY",public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX18867066,NextSeq 2000,GSM6901051,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-09T00:00:00Z,2022-12-28T17:41:00Z,1,GSM6901051,HeLa,SRP415069,Risdiplam,,,CSHL cell line repository
SRR22909633,RNA-Seq,302,26423949946,PRJNA916518,SAMN32475267,8040991308,HeLa,"MCCANDLISH LAB, QUANTITATIVE BIOLOGY, COLD SPRING HARBOR LABORATORY",public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX18867065,NextSeq 2000,GSM6901050,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-09T00:00:00Z,2022-12-28T17:38:00Z,1,GSM6901050,HeLa,SRP415069,Risdiplam,,,CSHL cell line repository
SRR22909636,RNA-Seq,302,19790080234,PRJNA916518,SAMN32475270,6020697528,HeLa,"MCCANDLISH LAB, QUANTITATIVE BIOLOGY, COLD SPRING HARBOR LABORATORY",public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX18867062,NextSeq 2000,GSM6901047,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-09T00:00:00Z,2022-12-28T17:35:00Z,1,GSM6901047,HeLa,SRP415069,DMSO,,,CSHL cell line repository
SRR22909637,RNA-Seq,302,25741941534,PRJNA916518,SAMN32475271,7798892207,HeLa,"MCCANDLISH LAB, QUANTITATIVE BIOLOGY, COLD SPRING HARBOR LABORATORY",public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX18867061,NextSeq 2000,GSM6901046,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-09T00:00:00Z,2022-12-28T17:48:00Z,1,GSM6901046,HeLa,SRP415069,DMSO,,,CSHL cell line repository
SRR22909627,RNA-Seq,302,26873732438,PRJNA916518,SAMN32475261,8124751774,HeLa,"MCCANDLISH LAB, QUANTITATIVE BIOLOGY, COLD SPRING HARBOR LABORATORY",public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX18867071,NextSeq 2000,GSM6901056,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-09T00:00:00Z,2022-12-28T17:38:00Z,1,GSM6901056,HeLa,SRP415069,Branaplam,,,CSHL cell line repository
SRR22909628,RNA-Seq,302,24605864646,PRJNA916518,SAMN32475262,7474052574,HeLa,"MCCANDLISH LAB, QUANTITATIVE BIOLOGY, COLD SPRING HARBOR LABORATORY",public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX18867070,NextSeq 2000,GSM6901055,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-09T00:00:00Z,2022-12-28T17:55:00Z,1,GSM6901055,HeLa,SRP415069,Branaplam,,,CSHL cell line repository
SRR22909630,RNA-Seq,302,26223739650,PRJNA916518,SAMN32475264,7978345094,HeLa,"MCCANDLISH LAB, QUANTITATIVE BIOLOGY, COLD SPRING HARBOR LABORATORY",public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX18867068,NextSeq 2000,GSM6901053,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-01-09T00:00:00Z,2022-12-28T17:51:00Z,1,GSM6901053,HeLa,SRP415069,Risdiplam,,,CSHL cell line repository
